brnpdb_id,name,micro_community,micro_size,micro_hiv_rate,micro_n_active,macro_community,macro_family
41207,"Stigmast-5-en-3-ol, (3β)-",41207,22,0.2273,5,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
41213,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, 3a,3b,4,5,6,7-hexa",41207,22,0.2273,5,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
41229,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methyl",41207,22,0.2273,5,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
41240,Camphene,24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41254,α-Terpinolene,24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41268,"1,8-Cineole",24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41127,"Ergostane-2,3,6-triol, 25-methyl-, 2,3,6-tris(hydrogen sulfa",24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41170,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy",24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41173,"4H-1-Benzopyran-4-one, 3-(β-D-arabinopyranosyloxy)-2-(3,4-di",24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41165,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl",24793,31,0.2258,7,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41162,lauric acid,8118,9,0.2222,2,15,p-Cumarico + benzoato de benzila (fenilpropanoide 
41128,Amphotericin B,27879,9,0.2222,2,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
41133,"9,12-Octadecadienoic acid",41134,9,0.2222,2,9,Flavonois simples (quercetina e derivados)
41134,"L-Cysteine, L-tyrosylglycyl-L-leucyl-L-seryl-L-lysylglycyl-L",41134,9,0.2222,2,9,Flavonois simples (quercetina e derivados)
41195,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate",27879,9,0.2222,2,17,Fitoesterois C28-C29 + acidos cinnamicos prenilado
