node_id,community,is_brnpdb,is_active
1040,25,False,False
1041,7,False,False
1042,7,False,False
1043,7,False,False
1044,7,False,False
1045,2,False,False
1046,2,False,False
1047,6,False,False
1048,6,False,False
1049,15,False,False
1050,8,False,False
1051,8,False,False
1052,13,False,False
1053,20,False,False
1054,20,False,False
1055,14,False,False
1056,14,False,False
1057,8,False,False
1058,0,False,False
1059,15,False,False
1060,14,False,False
1061,14,False,False
1062,15,False,False
1063,15,False,False
1064,8,False,False
1065,15,False,False
1066,15,False,False
1067,15,False,False
1068,8,False,False
1069,14,False,False
1070,15,False,False
1071,16,False,False
1072,5,False,False
1073,2,False,False
1074,6,False,False
1075,20,False,False
1076,26,False,False
1077,26,False,False
1078,4,False,False
1079,6,False,False
1080,14,False,False
1081,4,False,False
1082,25,False,False
1083,13,False,False
1084,3,False,False
1085,21,False,False
1086,10,False,False
1087,13,False,False
1088,5,False,False
1089,25,False,False
1090,24,False,False
1091,22,False,False
1092,12,False,False
1093,1,False,True
1094,10,False,True
1095,22,False,False
1096,15,False,False
1097,24,False,False
1098,17,False,False
1099,11,False,False
1100,11,False,True
1101,11,False,False
1102,15,False,False
1103,1,False,False
1104,25,False,False
1105,13,False,False
1106,25,False,False
1107,25,False,False
1108,25,False,False
1109,17,False,False
1110,2,False,False
1111,2,False,False
1112,1,False,False
1113,2,False,True
1114,14,False,False
1115,0,False,False
1116,25,False,False
1117,25,False,False
1118,2,False,False
1119,2,False,False
1120,17,False,False
1121,3,False,False
1122,4,False,False
1123,21,False,False
1124,9,False,False
1125,20,False,False
1126,1,False,False
1127,20,False,False
1128,15,False,False
1129,14,False,False
1130,20,False,False
1131,20,False,False
1132,19,False,False
1133,0,False,False
1134,8,False,False
1135,0,False,False
1136,8,False,False
1137,15,False,False
1138,0,False,False
1139,8,False,False
1140,0,False,False
1141,16,False,False
1142,18,False,False
1143,14,False,False
1144,22,False,False
1145,13,False,False
1146,7,False,False
1147,22,False,False
1148,15,False,False
1149,16,False,False
1150,13,False,False
1151,25,False,False
1152,22,False,False
1153,15,False,False
1154,13,False,False
1155,22,False,False
1156,1,False,False
1157,14,False,False
1158,14,False,False
1159,2,False,False
1160,22,False,False
1161,14,False,False
1162,22,False,False
1163,22,False,False
1164,14,False,False
1165,4,False,False
1166,24,False,False
1167,0,False,False
1168,4,False,False
1169,20,False,False
1170,4,False,False
1171,20,False,False
1172,4,False,False
1173,20,False,False
1174,20,False,False
1175,20,False,False
1176,21,False,False
1177,20,False,False
1178,1,False,False
1179,1,False,False
1180,1,False,False
1181,2,False,False
1182,25,False,False
1183,24,False,False
1184,0,False,False
1185,15,False,False
1186,0,False,False
1187,20,False,False
1188,18,False,False
1189,15,False,False
1190,8,False,False
1191,0,False,False
1192,10,False,False
1193,21,False,False
1194,21,False,False
1195,20,False,False
1196,9,False,False
1197,0,False,False
1198,9,False,False
1199,20,False,False
1200,20,False,False
