index,brnpdb_id,common_name,smiles
80,8651,"Stigmast-5-en-3-ol, (3β,24S)-",CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
81,7333,"Stigmast-5-en-3-ol, (3β)-",CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
82,7884,"Stigmast-5-en-3-ol, (3β,24ξ)-",CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
83,7233,Stigmast-5-en-3-ol,CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
84,5696,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-",C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
85,9032,"2(5H)-Furanone, 5-(2,4,6-octatriyn-1-yl)-, (5R)-",C(C#CC#CC#CC)C1C=CC(O1)=O
86,1747,Myrcene,CC(=CCCC(=C)C=C)C
87,5783,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, 3a,3b,4,5,6,7-hexahydro-3,7-dimethyl-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-",CC1=CCC23C(CCC(C2C31)C(C)C)C
88,8780,"2(3H)-Furanone, dihydro-4-hydroxy-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (4S,5S)-",OC1CC(OC1CC#CC#CC#CCO)=O
89,9218,"Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-methylene-1-(1-methylethyl)-, (1S,3aS,3bR,6aS,6bR)-",CC12CCC(C1C1C(CCC12)=C)C(C)C
90,7477,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4S,5R)-",OC1CC(OC1CC#CC#CC#CC)=O
91,7499,"2(3H)-Furanone, dihydro-4-hydroxy-5-(2,4,6-octatriyn-1-yl)-, (4R,5S)-rel-",O[C@@H]1CC(O[C@H]1CC#CC#CC#CC)=O
92,9601,"2(3H)-Furanone, 5-(1,8-dihydroxy-2,4,6-octatriyn-1-yl)dihydro-, (5S)-",OC(C#CC#CC#CCO)C1CCC(O1)=O
93,3631,Tetradecanal,CCCCCCCCCCCCCC=O
94,1737,Sabinene,CC(C)C12CCC(=C)C1C2
95,8658,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-",CC1=CCCC(=C)C2CC(C2CC1)(C)C
96,5936,"2(3H)-Furanone, dihydro-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-, (5S)-",OCC#CC#CC#CCC1CCC(O1)=O
97,5919,"4H-1-Benzopyran-4-one, 2,3-dihydro-3,5,7-trihydroxy-2-(4-methoxyphenyl)-, (2R,3R)-",COC1=CC=C(C=C1)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O
98,6636,"4H-Benzo[de][1,6]naphthyridine, 8,9-dimethoxy-4-methyl-",COC1=C(C=2C=3C(C=CN(C3C=CN2)C)=C1)OC
99,6604,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 9-(acetyloxy)-8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-5-methyl-, (1R,5R,8S,9R)-",C(C)(=O)OC1C2(C(=CCC1(CCC2[C@@H](CCC=C(C)C)C)C)C=O)C=O
100,6695,"Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-9-hydroxy-5-methyl-, (1R,5R,8S,9R)-",C[C@H](CCC=C(C)C)C1CCC2(CC=C(C1(C2O)C=O)C=O)C
101,1389,Linalyl acetate,CC(=CCCC(C)(C=C)OC(=O)C)C
102,7099,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aS)-",CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C
103,8558,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aR)-",CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C
104,7805,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1R,2S,6S,7S,8S)-",CC12C3C(=CCC2C3C(CC1)C(C)C)C
105,9377,"Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1S,2R,6R,7R,8S)-",CC12C3C(=CCC2C3C(CC1)C(C)C)C
106,3278,nerolidol,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C
107,7314,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7S,7aR,7bR)-",CC1(C2C3C(CCC3C(CCC21)=C)(O)C)C
108,8640,"1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aS,4aS,7R,7aS,7bS)-",CC1(C2C3C(CCC3C(CCC21)=C)(O)C)C
109,1746,β-Pinene,CC1=C2CC(C2(C)C)CC1
110,3151,farnesol,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C
111,1741,Terpinen-4-ol,CC1=CCC(CC1)(C(C)C)O
112,8570,"6H-Purin-6-one, 2-amino-1,9-dihydro-9-[(2-hydroxyethoxy)methyl]-",C1=NC2=C(N1COCCO)N=C(NC2=O)N
113,1380,Linalool,CC(=CCCC(C)(C=C)O)C
114,2027,Camphene,CC1(C2CCC(C2)C1=C)C
115,7698,"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, (1E,6E,8S)-",C/C/1=C\CCC(=C)/C=C/[C@@H](CC1)C(C)C
116,1902,a-terpinene,CC1=CC=C(CC1)C(C)C
117,1755,α-Pinene,CC1=C[C@H]2C[C@@H](C1)C2(C)C
118,7367,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aS)-",CC(O)(C1CC2=C(CCCC2(CC1)C)C)C
119,6567,"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,7-octahydro-α,α,4a,8-tetramethyl-, (2R,4aR)-",CC1=C2C[C@@H](CC[C@]2(CCC1)C)C(C)(C)O
120,10068,"α-L-Mannopyranose, 6-deoxy-",C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
121,8606,"α-D-Galactopyranose, 6-deoxy-",OC1OC(C)C(O)C(O)C1O
122,10174,"4,6-Cyclopentacycloundecenediol, 1,2,3,3a,4,5,6,9,10,12a-decahydro-3-(1-hydroxy-1-methylethyl)-6,10,12a-trimethyl-, (3R,3aS,4S,6S,7E,10R,11E,12aR)-rel-(-)-",OC(C)(C)[C@@H]1CC[C@@]2(/C=C/[C@@H](C/C=C/[C@](C[C@@H]([C@H]21)O)(O)C)C)C
123,10226,"Bicyclo[8.1.0]undeca-2,6-diene, 3,7,11,11-tetramethyl-, (1S,2E,6E,10R)-",C/C/1=C\CC/C(=C/C2C(C2(C)C)CC1)/C
124,1914,limonene,CC1=CCC(CC1)C(=C)C
125,8123,D-Mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
126,9018,D-Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
